"network","park","transect_id","year","t","rh","period"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1980,7.92426222269652,23.1760058246675,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1981,10.1302459357215,24.9322213354658,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1982,7.63844266484995,54.7559960943754,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1983,8.09221299945331,27.5452850294895,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1984,8.16508193485072,33.6926248229918,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1985,5.69524584637314,32.3686878334303,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1986,6.60098363923245,31.157520095833,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1987,9.51172130615985,19.6403554472767,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1988,11.9170491499979,27.004913570451,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1989,8.70237703108397,36.138917847735,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1990,9.23196715018788,41.6262293448214,"1990-1999"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1991,11.2500820550762,46.609870087905,"1990-1999"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1992,10.7571310997009,30.7787964089972,"1990-1999"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1993,8.85721305940972,33.0563963192408,"1990-1999"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1994,8.23639343801092,17.5936890185856,"1990-1999"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1995,9.75622959605983,27.7958317613993,"1990-1999"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1996,8.25868850653289,30.9989208569292,"1990-1999"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1997,8.90778692823942,34.0878799069123,"1990-1999"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1998,10.8516392571027,36.5538497928713,"1990-1999"
"fivepks","LAVO","LAVO_Alpine_LVWB03",1999,9.48090165951213,17.8878325663629,"1990-1999"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2000,9.35639347600155,22.2311112235804,"2000-2009"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2001,10.8871310460763,21.4141027604947,"2000-2009"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2002,10.2270491689932,19.8408887034557,"2000-2009"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2003,10.2431967243796,24.2860079300208,"2000-2009"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2004,9.35344261419578,21.4065313094952,"2000-2009"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2005,9.37811471985989,27.7055605757432,"2000-2009"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2006,10.2624590318711,18.6220193251235,"2000-2009"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2007,10.0645081899205,22.7345079183578,"2000-2009"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2008,11.1951639222317,18.6257984794554,"2000-2009"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2009,11.0615574512325,35.1594242404719,"2000-2009"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2010,9.27139352384161,23.0899743369368,"2010-2019"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2011,11.5956558262716,30.7284008528365,"2010-2019"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2012,12.6218852918656,20.9950769533877,"2010-2019"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2013,9.33204921151771,39.459380483041,"2010-2019"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2014,12.1763115124624,40.7656243834339,"2010-2019"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2015,11.3475409765713,47.1081834836084,"2010-2019"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2016,12.1767213168691,36.5925172557596,"2010-2019"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2017,11.9812293853916,23.2656907351291,"2010-2019"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2018,9.99139338634053,21.3601841301214,"2010-2019"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2019,9.06106566601112,41.6405020190067,"2010-2019"
"fivepks","LAVO","LAVO_Alpine_LVWB03",2020,13.106065531246,27.9547619282222,"2020"
"fivepks","LAVO","LAVO_Alpine_LVWB05",1980,7.5640163734311,23.8865163971166,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB05",1981,9.77508195306434,24.8948412596202,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB05",1982,7.26655737591572,52.6167779183779,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB05",1983,7.67393436588225,29.4027759892042,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB05",1984,7.71409834994644,36.9710132479668,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB05",1985,5.2116393241726,32.8557253372474,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB05",1986,6.13754090324777,31.2406704562609,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB05",1987,9.04975399814668,19.770286952863,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB05",1988,11.5893442161748,28.4110939893566,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB05",1989,8.37795081197238,35.8126664747957,"1980-1989"
"fivepks","LAVO","LAVO_Alpine_LVWB05",1990,8.89262298286938,41.8056064209,"1990-1999"
"fivepks","LAVO","LAVO_Alpine_LVWB05",1991,10.8459836615891,45.841059821551,"1990-1999"
"fivepks","LAVO","LAVO_Alpine_LVWB05",1992,10.3550819021757,31.2070943781587,"1990-1999"
"fivepks","LAVO","LAVO_Alpine_LVWB05",1993,8.49426220674984,34.0591623157751,"1990-1999"
