"transect_id","park","recent_br_status","asTEMP","asRH","min_t","max_t","se_t","min_rh","max_rh","se_rh","period","svp","asRHcalc","vpd"
"CRLA_Alpine_CRWB01","CRLA",1,12.4002732240437,54.3189305230289,-7.75,30.85,0.119441734007542,6,100,0.401735718661022,"2000-2020",1440.01481005221,0.543189305230289,657.814165858624
"CRLA_Alpine_CRWB02","CRLA",1,11.2616315378611,60.6610850897736,-8.14999999999998,28.95,0.120428054180526,6,100,0.416807572236214,"2000-2020",1335.71888472814,0.606610850897736,525.457315503028
"CRLA_Alpine_CRWB03","CRLA",1,12.3744730679157,53.0428181108509,-6.64999999999998,29.85,0.121369092922169,5.2,100,0.431235644840372,"2000-2020",1437.57465184346,0.530428181108509,675.044544058434
"CRLA_Alpine_CRWB04","CRLA",1,12.5976580796253,50.7192037470726,-6.14999999999998,29.05,0.122648184635877,4.6,100,0.434772074538808,"2000-2020",1458.80398417085,0.507192037470726,718.910219168825
"CRLA_Alpine_CRWB05","CRLA",1,11.2616315378611,60.6610850897736,-8.14999999999998,28.95,0.120428054180526,6,100,0.416807572236214,"2000-2020",1335.71888472814,0.606610850897736,525.457315503028
"CRLA_Alpine_CRWB06","CRLA",1,11.4478142076503,60.7411787665886,-7.64999999999998,28.95,0.120319116895766,5.5,100,0.429644042543783,"2000-2020",1352.304573535,0.607411787665886,530.898835055353
"CRLA_Alpine_CRWB07","CRLA",1,12.5976580796253,50.7192037470726,-6.14999999999998,29.05,0.122648184635877,4.6,100,0.434772074538808,"2000-2020",1458.80398417085,0.507192037470726,718.910219168825
"CRLA_Alpine_CRWB08","CRLA",1,12.7135050741608,50.6207259953162,-5.44999999999999,29.55,0.122289644887326,6.2,100,0.426949287734446,"2000-2020",1469.93147518012,0.506207259953162,725.841490810281
"CRLA_Alpine_CRWB10","CRLA",1,11.9223653395785,56.2270101483216,-6.94999999999999,28.55,0.120399640619472,5.7,100,0.438183210024046,"2000-2020",1395.40000463289,0.562270101483216,610.808302418275
"CRLA_Alpine_CRWB11","CRLA",0,11.9223653395785,56.2270101483216,-6.94999999999999,28.55,0.120399640619472,5.7,100,0.438183210024046,"2000-2020",1395.40000463289,0.562270101483216,610.808302418275
